Designator,Mid X,Mid Y,Rotation,Layer
C1,144.7,-108.3,270.0,top
C2,164.1,-103.75,270.0,top
C3,155.8,-103.95,270.0,top
C4,164.25,-116.3,270.0,top
C5,155.775,-116.125,270.0,top
C6,144.7,-117.025,270.0,top
D2,126.255,-121.425,0.0,top
J1,124.64,-124.275,180.0,top
J10,132.52,-98.47,90.0,top
J11,136.275,-98.48,0.0,top
J12,162.73,-124.275,270.0,top
J13,129.73,-124.275,180.0,top
J14,156.38,-124.275,90.0,top
J2,172.375,-109.85,0.0,top
J3,172.375,-116.475,0.0,top
J4,172.375,-103.225,0.0,top
J5,150.225,-113.425,0.0,top
J6,150.225,-106.375,0.0,top
J7,144.995,-122.55,90.0,top
J8,144.995,-125.09,90.0,top
J9,150.275,-99.15,0.0,top
JP1,139.625,-104.85,270.0,top
JP2,139.825,-110.5,180.0,top
JP3,139.825,-112.5,180.0,top
R1,140.65,-104.9,90.0,top
R2,128.605,-121.425,180.0,top
R4,147.2,-103.95,180.0,top
U1,143.45,-100.3,180.0,top
U3,110.6,-120.4,90.0,top
U4,159.95,-103.65,270.0,top
U5,160.05,-115.9,270.0,top
